neighbourhood,month,year,count
Willowdale West,January,2000,2
North St.James Town,January,2000,1
Woburn,January,2000,1
Dorset Park,January,2000,1
Mimico,January,2000,3
Newtonbrook West,January,2000,2
Wexford/Maryvale,January,2000,2
Dufferin Grove,January,2000,1
The Beaches,January,2000,1
Milliken,January,2000,2
Mimico,January,2000,3
Forest Hill North,January,2000,3
Humewood-Cedarvale,January,2000,4
South Parkdale,January,2000,3
Lawrence Park South,January,2000,1
Islington-City Centre West,January,2000,2
Regent Park,January,2000,3
South Riverdale,January,2000,2
Scarborough Village,January,2000,1
Ionview,January,2000,1
Bedford Park-Nortown,January,2000,3
Danforth-East York,January,2000,1
Newtonbrook West,January,2000,1
Regent Park,January,2000,1
Hillcrest Village,January,2000,3
Dufferin Grove,January,2000,2
Mount Dennis,January,2000,2
York University Heights,January,2000,4
Rosedale-Moore Park,January,2000,3
Cliffcrest,January,2000,3
Milliken,January,2000,4
Woodbine-Lumsden,January,2000,1
Broadview North,January,2000,3
Edenbridge-Humber Valley,January,2000,1
Niagara,January,2000,4
Palmerston-Little Italy,January,2000,1
Centennial Scarborough,January,2000,4
Oakwood Village,January,2000,4
Clanton Park,January,2000,3
Regent Park,January,2000,2
Maple Leaf,January,2000,3
High Park North,January,2000,3
Lawrence Park North,January,2000,4
Palmerston-Little Italy,January,2000,2
Rustic,January,2000,1
Lawrence Park South,January,2000,4
Regent Park,January,2000,4
Agincourt North,January,2000,2
Playter Estates-Danforth,January,2000,4
South Riverdale,January,2000,4
Westminster-Branson,January,2000,2
Hillcrest Village,January,2000,3
Taylor-Massey,January,2000,2
Brookhaven-Amesbury,January,2000,3
Forest Hill South,January,2000,3
Casa Loma,January,2000,4
Humbermede,January,2000,1
Tam O'Shanter-Sullivan,January,2000,4
Mount Dennis,January,2000,3
Niagara,January,2000,1
Bendale,January,2000,3
Kensington-Chinatown,January,2000,1
North Riverdale,January,2000,3
Brookhaven-Amesbury,January,2000,1
Waterfront Communities-The Island,January,2000,1
Princess-Rosethorn,January,2000,4
Bathurst Manor,January,2000,1
Taylor-Massey,January,2000,2
Centennial Scarborough,January,2000,1
South Riverdale,January,2000,1
Kingsview Village-The Westway,January,2000,4
Eringate-Centennial-West DeaneMarkland Wood,January,2000,1
Eringate-Centennial-West DeaneMarkland Wood,January,2000,4
Bendale,January,2000,4
Hillcrest Village,January,2000,2
Niagara,January,2000,4
Mount Pleasant West,January,2000,4
The Beaches,January,2000,2
Weston,January,2000,4
Henry Farm,January,2000,4
Rockcliffe-Smythe,January,2000,2
Islington-City Centre West,January,2000,4
Humewood-Cedarvale,January,2000,1
Humber Summit,January,2000,4
Bedford Park-Nortown,January,2000,1
Roncesvalles,January,2000,2
Bathurst Manor,January,2000,4
Elms-Old Rexdale,January,2000,1
Church-Yonge Corridor,January,2000,1
Rockcliffe-Smythe,January,2000,3
Danforth,January,2000,3
Edenbridge-Humber Valley,January,2000,2
Edenbridge-Humber Valley,January,2000,3
Centennial Scarborough,January,2000,4
East End-Danforth,January,2000,2
Caledonia-Fairbank,January,2000,4
Danforth,January,2000,2
Eglinton East,January,2000,1
Englemount-Lawrence,January,2000,3
Palmerston-Little Italy,January,2000,4
Moss Park,January,2000,4
Highland Creek,January,2000,4
Danforth,January,2000,1
Elms-Old Rexdale,January,2000,2
Bedford Park-Nortown,January,2000,1
Yonge-St.Clair,January,2000,2
Glenfield-Jane Heights,January,2000,2
Cabbagetown-South St.James Town,January,2000,3
Taylor-Massey,January,2000,2
Rockcliffe-Smythe,January,2000,1
Niagara,January,2000,3
Agincourt South-Malvern West,January,2000,3
Kensington-Chinatown,January,2000,3
Yonge-St.Clair,January,2000,3
Parkwoods-Donalda,January,2000,1
Eringate-Centennial-West DeaneMarkland Wood,January,2000,4
Playter Estates-Danforth,January,2000,2
Humber Summit,January,2000,2
Lambton Baby Point,January,2000,1
Bayview Village,January,2000,1
Lawrence Park North,January,2000,4
Caledonia-Fairbank,January,2000,4
Banbury-Don Mills,January,2000,4
Casa Loma,January,2000,2
Pleasant View,January,2000,1
Guildwood,January,2000,1
Yonge-St.Clair,January,2000,3
Kennedy Park,January,2000,2
Agincourt South-Malvern West,January,2000,1
Casa Loma,January,2000,3
Centennial Scarborough,January,2000,4
Mount Dennis,January,2000,2
Mimico,January,2000,3
Pleasant View,January,2000,2
Bedford Park-Nortown,January,2000,2
Bayview Woods-Steeles,January,2000,4
Wexford/Maryvale,January,2000,1
Weston,January,2000,4
Weston,January,2000,4
Weston,January,2000,2
Humewood-Cedarvale,January,2000,1
Mount Dennis,February,2000,2
Cabbagetown-South St.James Town,February,2000,3
O'Connor-Parkview,February,2000,2
Humewood-Cedarvale,February,2000,1
Hillcrest Village,February,2000,3
Wexford/Maryvale,February,2000,2
Downsview-Roding-CFB,February,2000,1
Bedford Park-Nortown,February,2000,4
Taylor-Massey,February,2000,2
Willowdale West,February,2000,4
Kingsway South,February,2000,2
Bridle Path-Sunnybrook-York Mills,February,2000,3
North St.James Town,February,2000,1
Bayview Woods-Steeles,February,2000,3
Humbermede,February,2000,2
Don Valley Village,February,2000,3
Bay Street Corridor,February,2000,2
Elms-Old Rexdale,February,2000,2
Bridle Path-Sunnybrook-York Mills,February,2000,1
Briar Hill-Belgravia,February,2000,2
Forest Hill South,February,2000,3
Ionview,February,2000,3
West Humber-Clairville,February,2000,4
Yonge-St.Clair,February,2000,1
Etobicoke West Mall,February,2000,4
Trinity-Bellwoods,February,2000,3
Blake-Jones,February,2000,2
Agincourt South-Malvern West,February,2000,2
Henry Farm,February,2000,4
Birchcliffe-Cliffside,February,2000,1
Alderwood,February,2000,4
Runnymede-Bloor West VillageJunction Area,February,2000,2
Agincourt South-Malvern West,February,2000,2
Yonge-Eglinton,February,2000,3
West Humber-Clairville,February,2000,1
Woodbine Corridor,February,2000,1
Leaside-Bennington,February,2000,3
West Humber-Clairville,February,2000,2
Moss Park,February,2000,4
Woodbine Corridor,February,2000,4
Blake-Jones,February,2000,4
West Humber-Clairville,February,2000,4
Parkwoods-Donalda,February,2000,4
Moss Park,February,2000,2
Oakridge,February,2000,1
Bay Street Corridor,February,2000,1
Dorset Park,February,2000,2
Thistletown-Beaumond Heights,February,2000,4
Kingsview Village-The Westway,February,2000,2
Woodbine-Lumsden,February,2000,1
Alderwood,February,2000,3
Woburn,February,2000,3
Woodbine Corridor,February,2000,1
Alderwood,February,2000,1
Humber Summit,February,2000,2
East End-Danforth,February,2000,2
Willowridge-Martingrove-Richview,February,2000,1
Woodbine-Lumsden,February,2000,4
North Riverdale,February,2000,4
Rustic,February,2000,1
Cliffcrest,February,2000,3
Lambton Baby Point,February,2000,1
Clanton Park,February,2000,2
Moss Park,February,2000,1
Bay Street Corridor,February,2000,4
Hillcrest Village,February,2000,1
Forest Hill North,February,2000,2
Scarborough Village,February,2000,2
Regent Park,February,2000,1
Westminster-Branson,February,2000,3
Weston,February,2000,3
Bendale,February,2000,3
West Hill,February,2000,4
Kingsway South,February,2000,3
Kensington-Chinatown,February,2000,1
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,February,2000,4
Humber Heights-Westmount,February,2000,4
Kingsway South,February,2000,2
Stonegate-Queensway,February,2000,1
Dufferin Grove,February,2000,1
Regent Park,February,2000,1
Humbermede,February,2000,4
Pelmo Park-Humberlea,February,2000,3
Newtonbrook East,February,2000,1
East End-Danforth,February,2000,1
Humber Heights-Westmount,February,2000,2
Birchcliffe-Cliffside,February,2000,1
Palmerston-Little Italy,February,2000,1
Casa Loma,February,2000,4
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,February,2000,1
Stonegate-Queensway,February,2000,1
Danforth-East York,February,2000,1
Beechborough-Greenbrook,February,2000,3
Agincourt North,February,2000,2
Alderwood,February,2000,4
North St.James Town,February,2000,4
Blake-Jones,February,2000,3
Don Valley Village,February,2000,3
Wexford/Maryvale,February,2000,4
Runnymede-Bloor West VillageJunction Area,February,2000,1
Woodbine Corridor,February,2000,3
Willowridge-Martingrove-Richview,February,2000,2
Westminster-Branson,February,2000,3
Lansing-Westgate,February,2000,3
Niagara,February,2000,3
Rouge,February,2000,3
High Park North,February,2000,1
Church-Yonge Corridor,February,2000,4
Highland Creek,February,2000,2
Elms-Old Rexdale,February,2000,4
West Hill,February,2000,4
Rexdale-Kipling,February,2000,1
High Park North,February,2000,2
Victoria Village,February,2000,2
Weston,February,2000,2
Bayview Woods-Steeles,February,2000,3
Steeles,February,2000,1
Dorset Park,February,2000,3
Newtonbrook West,February,2000,1
Bedford Park-Nortown,February,2000,1
Bayview Village,February,2000,4
Stonegate-Queensway,February,2000,1
Cabbagetown-South St.James Town,February,2000,1
Lawrence Park South,February,2000,4
Princess-Rosethorn,February,2000,1
South Parkdale,February,2000,4
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,February,2000,4
Willowdale West,February,2000,1
Keelesdale-Eglinton West,February,2000,4
Bathurst Manor,February,2000,2
Victoria Village,February,2000,1
Brookhaven-Amesbury,February,2000,4
Stonegate-Queensway,February,2000,2
Malvern,February,2000,1
Humewood-Cedarvale,February,2000,1
New Toronto,February,2000,2
Milliken,February,2000,2
L'Amoreaux,February,2000,3
Bay Street Corridor,February,2000,2
Glenfield-Jane Heights,February,2000,3
Glenfield-Jane Heights,February,2000,4
South Parkdale,March,2000,2
York University Heights,March,2000,1
Dufferin Grove,March,2000,2
Dorset Park,March,2000,4
Roncesvalles,March,2000,1
Willowridge-Martingrove-Richview,March,2000,3
Pelmo Park-Humberlea,March,2000,2
Flemingdon Park,March,2000,1
Scarborough Village,March,2000,4
North Riverdale,March,2000,3
Brookhaven-Amesbury,March,2000,1
Englemount-Lawrence,March,2000,3
Palmerston-Little Italy,March,2000,2
Little Portugal,March,2000,4
Palmerston-Little Italy,March,2000,2
Bay Street Corridor,March,2000,1
Yonge-Eglinton,March,2000,3
Old East York,March,2000,1
South Parkdale,March,2000,1
Wexford/Maryvale,March,2000,1
Victoria Village,March,2000,2
Bayview Village,March,2000,1
Bayview Village,March,2000,3
The Beaches,March,2000,1
Leaside-Bennington,March,2000,4
Cabbagetown-South St.James Town,March,2000,1
Niagara,March,2000,3
Weston,March,2000,1
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,March,2000,1
Humber Summit,March,2000,3
Newtonbrook West,March,2000,4
Alderwood,March,2000,3
New Toronto,March,2000,4
Ionview,March,2000,2
York University Heights,March,2000,1
Mount Dennis,March,2000,2
Maple Leaf,March,2000,2
Woburn,March,2000,4
Danforth,March,2000,4
Yonge-St.Clair,March,2000,3
Alderwood,March,2000,1
Centennial Scarborough,March,2000,3
Bathurst Manor,March,2000,1
Bayview Village,March,2000,3
Mimico,March,2000,1
Keelesdale-Eglinton West,March,2000,1
Taylor-Massey,March,2000,3
West Hill,March,2000,1
North St.James Town,March,2000,1
Lambton Baby Point,March,2000,2
New Toronto,March,2000,3
Birchcliffe-Cliffside,March,2000,4
Yonge-St.Clair,March,2000,2
Morningside,March,2000,4
Thistletown-Beaumond Heights,March,2000,1
Humber Heights-Westmount,March,2000,3
Glenfield-Jane Heights,March,2000,4
Mimico,March,2000,3
Playter Estates-Danforth,March,2000,1
Trinity-Bellwoods,March,2000,2
Rustic,March,2000,1
Mount Dennis,March,2000,3
Weston,March,2000,4
Kingsway South,March,2000,1
Taylor-Massey,March,2000,3
South Riverdale,March,2000,1
Casa Loma,March,2000,2
Hillcrest Village,March,2000,1
Rouge,March,2000,3
Elms-Old Rexdale,March,2000,4
Lambton Baby Point,March,2000,2
Banbury-Don Mills,March,2000,3
Rustic,March,2000,3
Willowdale West,March,2000,1
Guildwood,March,2000,4
Rouge,March,2000,2
Wexford/Maryvale,March,2000,2
Victoria Village,March,2000,2
North Riverdale,March,2000,1
Beechborough-Greenbrook,March,2000,1
Bendale,March,2000,2
St.Andrew-Windfields,March,2000,3
Ionview,March,2000,4
Pleasant View,March,2000,1
Woodbine Corridor,March,2000,2
L'Amoreaux,March,2000,2
Clanton Park,March,2000,1
Centennial Scarborough,March,2000,4
Church-Yonge Corridor,March,2000,2
Cliffcrest,March,2000,3
Dorset Park,March,2000,2
Danforth-East York,March,2000,2
Rustic,March,2000,4
Thistletown-Beaumond Heights,March,2000,3
