Neighbourhood Id,Neighbourhood,Total_2014,Total_2015,Total_2016,Total_2017,Total_AVG,Total_ch,Population,Total_Rate,Shape__Area,Shape__Length,Access to Child Care,Business Licensing,Businesses_08,Child Care Spaces_08,Inequality (Gini coeff.),Local Employment_08,Social Assistance Recipients_08,Businesses_11,Child Care Spaces_11,Debt Risk Score,Home Prices,Local Employment_11,Social Assistance Recipients_11
1,West Humber-Clairville,820,787,821,861,822,0.05,36570,2247.7440525020497,30145724.6025391,27924.1020862666,0.38358200000000003,695,2550,180.0,0.35938000000000003,63385,2702.0,2463,195,719,317508,58271,2912
2,Mount Olive-Silverstone-Jamestown,431,450,480,463,456,-0.04,33484,1361.84446302712,4637675.93139648,12954.780979691,0.245736,106,273,45.0,0.42015,3346,6406.0,271,60,687,251119,3244,6561
3,Thistletown-Beaumond Heights,118,124,112,124,120,0.11,16039,748.1763202194651,3339612.41357422,10828.7234615876,0.325,116,236,25.0,0.38201,1350,1082.0,217,25,718,414216,1311,1276
4,Rexdale-Kipling,100,104,141,166,128,0.18,6862,1865.3453803555801,2505699.03344727,7067.2331239432,0.24,49,155,60.0,0.38842899999999997,1190,1231.0,144,75,721,392271,1178,1323
5,Elms-Old Rexdale,85,110,128,125,112,-0.02,3517,3184.53227182258,2931291.41601563,9356.887832236991,0.32162199999999996,31,70,60.0,0.38813000000000003,831,1759.0,67,60,692,233832,903,1683
6,Kingsview Village-The Westway,211,243,242,208,226,-0.14,14306,1579.7567454215,5063450.59350586,10449.3418744953,0.24347800000000003,59,160,129.0,0.38961999999999997,3301,4292.0,160,129,717,292861,2799,4348
7,Willowridge-Martingrove-Richview,218,169,270,215,218,-0.2,27469,793.621901052095,5517557.22070313,12059.317569839099,0.271111,117,182,131.0,0.370339,1865,1792.0,169,165,750,511637,1843,2032
8,Humber Heights-Westmount,92,109,104,118,106,0.13,14169,748.112075658127,2802762.43261719,9088.1724298682,0.280769,49,81,60.0,0.421779,741,921.0,82,140,753,491396,896,856
9,Edenbridge-Humber Valley,105,89,101,87,96,-0.14,11593,828.085913913569,5511730.19238281,11180.5213794732,0.36,67,162,30.0,0.37472,1473,852.0,153,30,761,873268,1334,751
10,Princess-Rosethorn,76,57,97,69,75,-0.29,8588,873.3115975780161,5171455.95849609,11052.1843671499,0.2,40,77,311.0,0.26576900000000003,1270,205.0,74,367,791,971668,1226,299
11,Eringate-Centennial-West Deane,156,141,143,131,143,-0.08,7258,1970.2397354643201,8645710.70166016,15361.509118433101,0.155,95,244,142.0,0.33516999999999997,3505,877.0,229,172,775,423034,3472,775
12,Markland Wood,79,47,59,50,59,-0.15,17465,337.818494131119,2953849.18115234,7846.645771150501,0.685714,46,105,105.0,0.341789,1659,235.0,106,105,783,505350,1494,239
13,Etobicoke West Mall,99,110,87,75,93,-0.14,4354,2135.96692696371,1796682.38989258,6476.17755552324,0.302703,35,181,60.0,0.36959899999999996,3541,1080.0,146,60,738,298426,4340,1091
14,Islington-City Centre West,479,521,514,488,501,-0.05,56701,883.5823001358,16240171.9858398,20312.2158500834,0.318812,763,2291,189.0,0.398129,52812,2441.0,2263,204,755,491678,45794,2534
15,Kingsway South,92,98,79,100,92,0.27,5175,1777.77777777778,2638229.29174805,8062.395375478521,0.1,46,189,100.0,0.255849,2142,49.0,195,115,793,941223,2335,74
16,Stonegate-Queensway,218,164,159,214,189,0.35,22207,851.082991849417,7946085.61254883,11853.0546212027,0.253333,329,605,215.0,0.3842,6029,1368.0,595,283,760,690949,5932,1593
17,Mimico,315,339,353,476,371,0.35,28917,1282.98232873396,7059230.96459961,23378.0313432876,0.23661999999999997,281,635,147.0,0.40523899999999996,11586,2147.0,619,195,741,429941,11549,2634
18,New Toronto,146,188,176,172,171,-0.02,8545,2001.17027501463,3481394.35864258,11322.028678094699,0.389189,148,342,90.0,0.43007,4398,1551.0,368,90,719,460811,5289,1600
19,Long Branch,99,124,105,112,110,0.07,14073,781.638598735167,2261863.13500977,7806.82562631422,0.442105,105,168,69.0,0.390909,1546,1074.0,170,54,724,459088,1143,1024
20,Alderwood,90,102,103,71,92,-0.31,9271,992.3417107108189,4978477.15429688,9168.6761448685,0.24,128,312,120.0,0.353179,5432,494.0,309,120,764,504233,4839,516
21,Humber Summit,297,276,321,332,307,0.03,14188,2163.80039469975,7967069.84887695,12608.8271504928,0.237931,398,1342,60.0,0.399859,18426,1527.0,1373,53,715,354381,17950,1659
22,Humbermede,162,182,164,239,187,0.46,6029,3101.6752363576,4421766.2409668,12446.0396242084,0.250909,191,360,55.0,0.40476,6247,2432.0,374,55,695,314721,5799,2590
23,Pelmo Park-Humberlea,130,116,120,152,130,0.27,24883,522.445042800305,4276291.35717773,13837.3704763542,0.365517,70,157,0.0,0.36107,2430,689.0,152,0,735,412618,2855,798
24,Black Creek,397,382,439,411,407,-0.06,17241,2360.6519343425603,3453918.50146484,8441.522649070579,0.347982,93,343,175.0,0.417239,4199,6026.0,306,175,661,235143,3856,6408
25,Glenfield-Jane Heights,369,396,435,383,396,-0.12,26132,1515.38343793051,5149910.02416992,11437.5691305732,0.398077,185,631,173.0,0.416579,8455,6786.0,587,173,678,304262,8323,7263
26,Downsview-Roding-CFB,569,581,539,613,576,0.14,26915,2140.07059260635,14992611.011230499,21300.7600056834,0.278022,419,965,163.0,0.40241,19053,5671.0,985,238,692,400486,20150,5618
27,York University Heights,574,672,655,641,636,-0.02,36764,1729.95321510173,13246981.639892599,18504.9362096725,0.325316,637,2659,146.0,0.42695900000000003,39667,3955.0,2643,156,698,359372,42885,4720
28,Rustic,136,149,157,131,143,-0.17,7525,1900.33222591362,2096415.96582031,5889.09594175122,0.344762,33,48,26.0,0.45925,504,2027.0,48,26,692,493442,550,1924
29,Maple Leaf,83,92,112,74,90,-0.34,16410,548.4460694698349,2526540.40380859,6377.87648096061,0.413793,61,50,90.0,0.39897,668,924.0,47,90,721,540741,737,919
30,Brookhaven-Amesbury,142,193,160,160,164,0.0,18816,871.5986394557821,3507376.79980469,8980.55639815805,0.35167800000000005,153,429,54.0,0.410199,4713,3566.0,466,54,687,352428,4825,3420
31,Yorkdale-Glen Park,268,282,332,330,303,-0.01,18233,1661.82197115121,6038420.07592773,10079.442748097801,0.258824,365,1522,75.0,0.42677,26409,1442.0,1468,82,729,421045,24685,1502
32,Englemount-Lawrence,150,142,218,192,176,-0.12,23568,746.775288526816,3478188.59155273,8311.87160311335,0.25303000000000003,145,185,165.0,0.43456999999999996,3343,2509.0,175,105,730,577889,3495,2733
33,Clanton Park,184,121,142,138,146,-0.03,20575,709.599027946537,4142619.21142578,10147.3845577999,0.24117600000000003,159,344,130.0,0.41694,5150,674.0,357,130,740,605585,5011,734
34,Bathurst Manor,162,140,186,183,168,-0.02,11733,1431.85885962669,4760489.03295898,14569.758435638001,0.32,75,259,90.0,0.40893,3453,1032.0,244,105,745,568877,3370,1018
35,Westminster-Branson,170,181,149,163,166,0.09,27822,596.650132988283,3667863.82226563,11495.5132909323,0.358491,115,80,45.0,0.43298000000000003,3435,3220.0,83,45,730,372380,3027,2906
36,Newtonbrook West,206,151,209,242,202,0.16,14928,1353.16184351554,4695745.70654297,8634.22936573686,0.29473699999999997,225,507,76.0,0.40094,9170,2005.0,483,98,737,557468,9091,2124
37,Willowdale West,103,105,112,99,105,-0.12,6954,1509.92234685073,2883478.93505859,7476.95776855073,0.49090900000000004,132,326,173.0,0.418289,5466,381.0,363,248,766,541247,7110,515
38,Lansing-Westgate,110,119,125,146,125,0.17,10242,1220.4647529779302,5346378.12207031,11112.3164575819,0.194444,158,476,65.0,0.37456999999999996,11338,400.0,488,75,758,646460,12254,468
39,Bedford Park-Nortown,238,166,220,274,225,0.25,13326,1688.42863574966,5518388.07519531,12817.1498402244,0.135294,127,659,60.0,0.34876,7286,385.0,676,60,776,1191040,8187,484
40,St.Andrew-Windfields,187,195,164,183,182,0.12,19066,954.578831427672,7299883.0090332,13026.3399915356,0.336,103,630,100.0,0.32003899999999996,14376,406.0,591,124,774,1363202,13023,606
41,Bridle Path-Sunnybrook-York Mills,65,79,80,99,81,0.24,9814,825.3515386183,8838672.9230957,15651.7013965571,0.08,30,58,0.0,0.195639,12648,16.0,58,0,788,1849084,11756,37
42,Banbury-Don Mills,161,211,168,200,185,0.19,40704,454.50078616352204,10041865.4177246,18165.4908958011,0.302439,142,735,255.0,0.36829,24106,888.0,834,255,776,613647,25614,1030
43,Victoria Village,112,146,126,95,120,-0.25,11725,1023.45415778252,4755419.68725586,11800.594684951398,0.18871,168,398,155.0,0.42135900000000004,7412,2669.0,431,134,730,365107,7035,2593
44,Flemingdon Park,233,201,203,181,205,-0.11,23841,859.863260769263,2473317.34643555,8487.84827101864,0.251813,98,220,195.0,0.38001,4665,4476.0,185,203,721,204104,5088,4348
45,Parkwoods-Donalda,269,268,281,308,282,0.1,30123,936.161736878797,7464611.06567383,13452.364840208,0.34491,126,199,400.0,0.38863000000000003,2399,3862.0,209,441,731,553698,2802,3664
46,Pleasant View,71,83,100,78,83,-0.22,19042,435.878584182334,2967511.88916016,7944.81171003902,0.352381,83,131,90.0,0.37378,1296,655.0,124,90,767,463859,1162,791
47,Don Valley Village,303,256,256,214,257,-0.16,33970,756.549896967913,4212456.66992188,8326.67440221318,0.371429,127,367,190.0,0.3905,5315,1860.0,373,229,756,478489,5640,2137
48,Hillcrest Village,146,125,114,138,131,0.21,15042,870.89482781545,5395673.32250977,9570.920007476541,0.33616999999999997,111,421,195.0,0.403649,13577,657.0,424,180,775,484743,11806,694
49,Bayview Woods-Steeles,76,84,86,98,86,0.14,8350,1029.94011976048,4089019.53540039,8253.18142570845,0.378571,52,95,150.0,0.372729,2056,581.0,93,180,777,784397,2207,666
50,Newtonbrook East,244,224,263,276,252,0.05,23195,1086.4410433283,4084743.61914063,8094.55392700477,0.207407,67,397,15.0,0.41416000000000003,4217,623.0,400,30,757,626626,4357,685
51,Willowdale East,317,328,371,409,356,0.1,56941,625.208549200049,5061150.8046875,9482.41555071223,0.195604,278,816,194.0,0.411179,16230,1039.0,849,209,759,540911,16026,1189
52,Bayview Village,179,172,155,146,163,-0.06,24547,664.03226463519,5159278.02270508,9504.27584388625,0.38125,109,433,45.0,0.3504,14323,445.0,460,60,768,533089,9377,626
53,Henry Farm,95,86,80,117,95,0.46,9477,1002.42692835285,2593261.59057617,8150.89102066787,0.324444,116,737,105.0,0.40213000000000004,18312,1348.0,717,105,736,372110,18728,1502
54,O'Connor-Parkview,256,198,181,166,200,-0.08,23514,850.5571149102659,4876824.08300781,10927.2617969222,0.317895,194,361,75.0,0.41141000000000005,5348,2901.0,346,75,725,538203,4677,2984
